,actual,predicted,difference
48398,-7.455311318886377,-5.115137224596018,2.340174094290359
17294,-16.413033176559253,-16.44221455276564,0.029181376206388165
8361,-13.788634218886376,-12.96170152588372,0.8269326930026555
14067,-15.829711918886378,-14.127720937588222,1.701990981298156
10064,-13.44358411888638,-13.75548200779774,0.3118978889113606
16969,-11.56444492655926,-10.920954854895097,0.6434900716641625
16451,-9.488032626559244,-11.559911932118354,2.0718793055591096
38226,-11.024834218886388,-15.39761684605729,4.372782627170901
25417,-3.067019576559245,-4.188091829246953,1.121072252687708
26097,-14.64437506888638,-13.13343778907258,1.510937279813799
23463,-14.597760476559245,-12.57121192393812,2.026548552621124
21879,-6.131028326559258,-5.192142672248658,0.9388856543105994
13592,-24.582579568886377,-20.28516891618573,4.297410652700648
9167,-21.517073118886376,-22.233996419514202,0.7169233006278262
47984,-1.6792323188863811,-1.9432389903562952,0.2640066714699141
59490,-9.533413276559244,-8.917400779736937,0.6160124968223073
6920,-5.821915968886376,-7.022090104579075,1.2001741356926985
51419,-10.688646226559255,-10.159668694392595,0.5289775321666603
12586,-18.994993918886383,-20.654987682913653,1.65999376402727
42214,-12.416807768886375,-12.66890536618379,0.2520975972974142
19253,-9.319591976559236,-7.350689863707702,1.9689021128515343
43503,-14.624899218886371,-15.67001094124644,1.045111722360069
59570,-22.09845337655925,-21.010214459931152,1.0882389166280966
9807,-20.52157436888637,-18.951074015255223,1.5705003536311466
17213,-12.05749282655924,-12.289250061889733,0.23175723533049286
27893,-63.19893581888637,-63.78642742834881,0.5874916094624396
48755,-16.026364818886382,-13.886777845141467,2.1395869737449154
62101,-11.165002076559244,-10.977620060103758,0.18738201645548536
9462,-19.172839318886364,-18.764752629028013,0.40808668985835084
36654,-12.819298518886374,-13.438080102884376,0.6187815839980022
27346,-15.03938336888638,-15.415252470996208,0.37586910210982794
41096,-11.523118018886368,-14.852510110198056,3.3293920913116875
36449,-10.526263868886378,-10.631369037721738,0.10510516883535992
37156,-16.943313518886374,-16.658451796400204,0.2848617224861698
9197,-16.51766311888638,-16.51087928399866,0.006783834887720275
33153,-14.26773036888638,-14.911052387453921,0.6433220185675417
31264,-14.096300418886376,-15.38830539167891,1.292004972792535
44359,-24.292374218886383,-19.657637237801872,4.634736981084512
28503,-17.085004768886368,-17.365502266085237,0.2804974971988692
47110,-11.556207318886385,-10.857933571564297,0.6982737473220872
39728,-25.420326218886377,-18.666702142969324,6.7536240759170525
40356,-14.102147918886375,-13.577173219486223,0.5249746994001523
53335,-15.546291118886376,-14.53730151275119,1.0089896061351862
10127,-14.36581786888637,-13.36427517111982,1.001542697766551
15325,-11.845617176559244,-7.865704349085382,3.9799128274738624
6964,-11.91917836888638,-12.065681848246363,0.14650347935998376
39606,-32.09591751888638,-32.10913688558123,0.013219366694848134
56334,-15.910941776559254,-13.455080482711027,2.4558612938482263
7479,-8.67688641888638,-9.285420965779394,0.608534546893015
24235,-6.475292576559253,-5.958519154158886,0.5167734224003668
52170,-31.72930851888636,-31.874969898461874,0.14566137957551462
3861,-9.20665451888637,-10.158808640636718,0.9521541217503469
60623,-14.48078947655925,-13.158129834089163,1.3226596424700876
48782,-11.156300818886384,-10.608055051598,0.5482457672883836
51316,-14.55966052655924,-14.683945788736937,0.12428526217769686
44489,-18.96410806888638,-19.125449706802424,0.1613416379160455
25133,-4.823315226559258,-4.424103811830969,0.39921141472828836
42489,-22.240476418886377,-23.427688329656746,1.187211910770369
4788,-17.31972306888638,-18.054301070089437,0.734578001203058
39859,-21.74277201888637,-21.45608508748631,0.28668693140005885
27327,-14.347336118886378,-12.536660935749,1.8106751831373789
31256,-25.667927418886368,-21.57466178928867,4.093265629597699
22051,-14.042806176559251,-11.828898632611722,2.2139075439475295
43334,-27.426434418886377,-16.868715998936413,10.557718419949964
58152,-0.1483430265592584,-0.3404316837360504,0.19208865717679197
26036,-19.24924971888638,-17.8093833172171,1.4398664016692777
39370,-12.320683468886369,-13.029139789842473,0.7084563209561043
24210,-5.128627026559256,-4.72797761957852,0.4006494069807358
13524,-19.013307618886376,-19.413755301429614,0.4004476825432377
2541,-19.183250418886377,-16.23878312196815,2.9444672969182264
14752,-13.176855176559242,-13.827806263926435,0.6509510873671935
61730,-8.402625326559244,-9.003648691311245,0.6010233647520007
4519,-18.042859368886383,-15.309073958245808,2.733785410640575
53277,-16.083944218886376,-17.03963417130533,0.9556899524189539
19811,-14.585100126559253,-14.233319200806998,0.35178092575225506
25129,-4.522958176559255,-4.804787337647254,0.28182916108799905
47859,2.12708718111362,-1.4518824733239954,3.5789696544376155
20228,-13.48861962655924,-14.019400381748657,0.5307807551894168
62049,-8.458030776559253,-8.968078052667131,0.510047276107878
902,-11.457129676559246,-11.23954158963226,0.21758808692698572
34095,-17.188626218886373,-15.204096417766596,1.984529801119777
35998,-14.925449068886383,-14.966838253395823,0.0413891845094394
60537,-13.90870422655925,-13.794382987297775,0.11432123926147497
5026,-14.792918218886374,-16.290190925616017,1.4972727067296425
44366,-22.37635376888638,-22.362309419966277,0.014044348920101868
17486,-18.26999922655925,-17.72140024051119,0.5485989860480593
62095,-10.106470426559254,-10.693868870808142,0.5873984442488887
48233,-4.089612818886369,-0.731097832701148,3.358514986185221
25076,-1.9516490765592616,0.5496889849861633,2.501338061545425
45179,-12.581375318886376,-9.552340799459909,3.0290345194264674
40361,-10.14787126888638,-9.45273273767921,0.6951385312071707
32789,-12.905271268886384,-15.160691130687093,2.255419861800709
13712,-16.922953318886375,-16.772767447813873,0.1501858710725017
32061,-10.48876026888637,-7.452035275062897,3.036724993823473
8196,-14.769563068886374,-14.495030596152764,0.27453247273360937
45824,-7.428529818886378,-8.99513966531236,1.5666098464259814
5564,-16.18257656888638,-16.61481195270379,0.4322353838174102
22154,-4.971499426559246,-3.680128394156144,1.2913710324031022
4884,-13.556006868886374,-16.051818917307976,2.4958120484216018
16655,-10.903436426559235,-10.962928587317831,0.05949216075859631
29788,-12.48814341888637,-12.253012650420875,0.23513076846549552
13983,-22.01656106888638,-17.48623727079302,4.5303237980933595
